origin	destination	north_south_indicator
united_states	jamaica	1
united_states	honduras	1
united_states	colombia	1
united_states	mexico	1
united_states	saint_kitts_nevis	1
united_states	turks_caicos_islands	1
united_states	sint_maarten	1
united_states	saint_vincent_grenadines	1
united_states	paraguay	1
united_states	nicaragua	1
united_states	barbados	1
united_states	canada	-1
united_states	united_states_virgin_islands	1
united_states	curacao	1
united_states	bolivia	1
united_states	panama	1
united_states	uruguay	1
united_states	bahamas	1
united_states	bermuda	1
united_states	aruba	1
united_states	peru	1
united_states	costa_rica	1
united_states	anguilla	1
united_states	venezuela	1
united_states	french_guiana	1
united_states	cayman_islands	1
united_states	brazil	1
united_states	trinidad_tobago	1
united_states	dominican_republic	1
united_states	cuba	1
united_states	guatemala	1
united_states	chile	1
united_states	martinique	1
united_states	haiti	1
united_states	belize	1
united_states	argentina	1
united_states	dominica	1
united_states	suriname	1
united_states	saint_lucia	1
united_states	el_salvador	1
united_states	puerto_rico	1
united_states	british_virgin_islands	1
united_states	ecuador	1
united_states	guyana	1
united_states	grenada	1
united_states	guadeloupe	1
united_states	antigua_barbuda	1
jamaica	united_states	-1
jamaica	honduras	1
jamaica	colombia	1
jamaica	mexico	-1
jamaica	saint_kitts_nevis	1
jamaica	turks_caicos_islands	-1
jamaica	sint_maarten	1
jamaica	saint_vincent_grenadines	1
jamaica	paraguay	1
jamaica	nicaragua	1
jamaica	barbados	1
jamaica	canada	-1
jamaica	united_states_virgin_islands	-1
jamaica	curacao	1
jamaica	bolivia	1
jamaica	panama	1
jamaica	uruguay	1
jamaica	bahamas	-1
jamaica	bermuda	-1
jamaica	aruba	1
jamaica	peru	1
jamaica	costa_rica	1
jamaica	anguilla	-1
jamaica	venezuela	1
jamaica	french_guiana	1
jamaica	cayman_islands	-1
jamaica	brazil	1
jamaica	trinidad_tobago	1
jamaica	dominican_republic	-1
jamaica	cuba	-1
jamaica	guatemala	1
jamaica	chile	1
jamaica	martinique	1
jamaica	haiti	-1
jamaica	belize	1
jamaica	argentina	1
jamaica	dominica	1
jamaica	suriname	1
jamaica	saint_lucia	1
jamaica	el_salvador	1
jamaica	puerto_rico	-1
jamaica	british_virgin_islands	-1
jamaica	ecuador	1
jamaica	guyana	1
jamaica	grenada	1
jamaica	guadeloupe	1
jamaica	antigua_barbuda	1
honduras	united_states	-1
honduras	jamaica	-1
honduras	colombia	1
honduras	mexico	-1
honduras	saint_kitts_nevis	-1
honduras	turks_caicos_islands	-1
honduras	sint_maarten	-1
honduras	saint_vincent_grenadines	1
honduras	paraguay	1
honduras	nicaragua	1
honduras	barbados	1
honduras	canada	-1
honduras	united_states_virgin_islands	-1
honduras	curacao	1
honduras	bolivia	1
honduras	panama	1
honduras	uruguay	1
honduras	bahamas	-1
honduras	bermuda	-1
honduras	aruba	1
honduras	peru	1
honduras	costa_rica	1
honduras	anguilla	-1
honduras	venezuela	1
honduras	french_guiana	1
honduras	cayman_islands	-1
honduras	brazil	1
honduras	trinidad_tobago	1
honduras	dominican_republic	-1
honduras	cuba	-1
honduras	guatemala	1
honduras	chile	1
honduras	martinique	1
honduras	haiti	-1
honduras	belize	-1
honduras	argentina	1
honduras	dominica	-1
honduras	suriname	1
honduras	saint_lucia	1
honduras	el_salvador	1
honduras	puerto_rico	-1
honduras	british_virgin_islands	-1
honduras	ecuador	1
honduras	guyana	1
honduras	grenada	1
honduras	guadeloupe	-1
honduras	antigua_barbuda	-1
colombia	united_states	-1
colombia	jamaica	-1
colombia	honduras	-1
colombia	mexico	-1
colombia	saint_kitts_nevis	-1
colombia	turks_caicos_islands	-1
colombia	sint_maarten	-1
colombia	saint_vincent_grenadines	-1
colombia	paraguay	1
colombia	nicaragua	-1
colombia	barbados	-1
colombia	canada	-1
colombia	united_states_virgin_islands	-1
colombia	curacao	-1
colombia	bolivia	1
colombia	panama	-1
colombia	uruguay	1
colombia	bahamas	-1
colombia	bermuda	-1
colombia	aruba	-1
colombia	peru	1
colombia	costa_rica	-1
colombia	anguilla	-1
colombia	venezuela	-1
colombia	french_guiana	1
colombia	cayman_islands	-1
colombia	brazil	1
colombia	trinidad_tobago	-1
colombia	dominican_republic	-1
colombia	cuba	-1
colombia	guatemala	-1
colombia	chile	1
colombia	martinique	-1
colombia	haiti	-1
colombia	belize	-1
colombia	argentina	1
colombia	dominica	-1
colombia	suriname	1
colombia	saint_lucia	-1
colombia	el_salvador	-1
colombia	puerto_rico	-1
colombia	british_virgin_islands	-1
colombia	ecuador	1
colombia	guyana	-1
colombia	grenada	-1
colombia	guadeloupe	-1
colombia	antigua_barbuda	-1
mexico	united_states	-1
mexico	jamaica	1
mexico	honduras	1
mexico	colombia	1
mexico	saint_kitts_nevis	1
mexico	turks_caicos_islands	-1
mexico	sint_maarten	1
mexico	saint_vincent_grenadines	1
mexico	paraguay	1
mexico	nicaragua	1
mexico	barbados	1
mexico	canada	-1
mexico	united_states_virgin_islands	1
mexico	curacao	1
mexico	bolivia	1
mexico	panama	1
mexico	uruguay	1
mexico	bahamas	-1
mexico	bermuda	-1
mexico	aruba	1
mexico	peru	1
mexico	costa_rica	1
mexico	anguilla	1
mexico	venezuela	1
mexico	french_guiana	1
mexico	cayman_islands	1
mexico	brazil	1
mexico	trinidad_tobago	1
mexico	dominican_republic	1
mexico	cuba	-1
mexico	guatemala	1
mexico	chile	1
mexico	martinique	1
mexico	haiti	1
mexico	belize	1
mexico	argentina	1
mexico	dominica	1
mexico	suriname	1
mexico	saint_lucia	1
mexico	el_salvador	1
mexico	puerto_rico	1
mexico	british_virgin_islands	1
mexico	ecuador	1
mexico	guyana	1
mexico	grenada	1
mexico	guadeloupe	1
mexico	antigua_barbuda	1
saint_kitts_nevis	united_states	-1
saint_kitts_nevis	jamaica	-1
saint_kitts_nevis	honduras	1
saint_kitts_nevis	colombia	1
saint_kitts_nevis	mexico	-1
saint_kitts_nevis	turks_caicos_islands	-1
saint_kitts_nevis	sint_maarten	-1
saint_kitts_nevis	saint_vincent_grenadines	1
saint_kitts_nevis	paraguay	1
saint_kitts_nevis	nicaragua	1
saint_kitts_nevis	barbados	1
saint_kitts_nevis	canada	-1
saint_kitts_nevis	united_states_virgin_islands	-1
saint_kitts_nevis	curacao	1
saint_kitts_nevis	bolivia	1
saint_kitts_nevis	panama	1
saint_kitts_nevis	uruguay	1
saint_kitts_nevis	bahamas	-1
saint_kitts_nevis	bermuda	-1
saint_kitts_nevis	aruba	1
saint_kitts_nevis	peru	1
saint_kitts_nevis	costa_rica	1
saint_kitts_nevis	anguilla	-1
saint_kitts_nevis	venezuela	1
saint_kitts_nevis	french_guiana	1
saint_kitts_nevis	cayman_islands	-1
saint_kitts_nevis	brazil	1
saint_kitts_nevis	trinidad_tobago	1
saint_kitts_nevis	dominican_republic	-1
saint_kitts_nevis	cuba	-1
saint_kitts_nevis	guatemala	1
saint_kitts_nevis	chile	1
saint_kitts_nevis	martinique	1
saint_kitts_nevis	haiti	-1
saint_kitts_nevis	belize	-1
saint_kitts_nevis	argentina	1
saint_kitts_nevis	dominica	1
saint_kitts_nevis	suriname	1
saint_kitts_nevis	saint_lucia	1
saint_kitts_nevis	el_salvador	1
saint_kitts_nevis	puerto_rico	-1
saint_kitts_nevis	british_virgin_islands	-1
saint_kitts_nevis	ecuador	1
saint_kitts_nevis	guyana	1
saint_kitts_nevis	grenada	1
saint_kitts_nevis	guadeloupe	1
saint_kitts_nevis	antigua_barbuda	1
turks_caicos_islands	united_states	-1
turks_caicos_islands	jamaica	1
turks_caicos_islands	honduras	1
turks_caicos_islands	colombia	1
turks_caicos_islands	mexico	1
turks_caicos_islands	saint_kitts_nevis	1
turks_caicos_islands	sint_maarten	1
turks_caicos_islands	saint_vincent_grenadines	1
turks_caicos_islands	paraguay	1
turks_caicos_islands	nicaragua	1
turks_caicos_islands	barbados	1
turks_caicos_islands	canada	-1
turks_caicos_islands	united_states_virgin_islands	1
turks_caicos_islands	curacao	1
turks_caicos_islands	bolivia	1
turks_caicos_islands	panama	1
turks_caicos_islands	uruguay	1
turks_caicos_islands	bahamas	-1
turks_caicos_islands	bermuda	-1
turks_caicos_islands	aruba	1
turks_caicos_islands	peru	1
turks_caicos_islands	costa_rica	1
turks_caicos_islands	anguilla	1
turks_caicos_islands	venezuela	1
turks_caicos_islands	french_guiana	1
turks_caicos_islands	cayman_islands	1
turks_caicos_islands	brazil	1
turks_caicos_islands	trinidad_tobago	1
turks_caicos_islands	dominican_republic	1
turks_caicos_islands	cuba	-1
turks_caicos_islands	guatemala	1
turks_caicos_islands	chile	1
turks_caicos_islands	martinique	1
turks_caicos_islands	haiti	1
turks_caicos_islands	belize	1
turks_caicos_islands	argentina	1
turks_caicos_islands	dominica	1
turks_caicos_islands	suriname	1
turks_caicos_islands	saint_lucia	1
turks_caicos_islands	el_salvador	1
turks_caicos_islands	puerto_rico	1
turks_caicos_islands	british_virgin_islands	1
turks_caicos_islands	ecuador	1
turks_caicos_islands	guyana	1
turks_caicos_islands	grenada	1
turks_caicos_islands	guadeloupe	1
turks_caicos_islands	antigua_barbuda	1
sint_maarten	united_states	-1
sint_maarten	jamaica	-1
sint_maarten	honduras	1
sint_maarten	colombia	1
sint_maarten	mexico	-1
sint_maarten	saint_kitts_nevis	1
sint_maarten	turks_caicos_islands	-1
sint_maarten	saint_vincent_grenadines	1
sint_maarten	paraguay	1
sint_maarten	nicaragua	1
sint_maarten	barbados	1
sint_maarten	canada	-1
sint_maarten	united_states_virgin_islands	-1
sint_maarten	curacao	1
sint_maarten	bolivia	1
sint_maarten	panama	1
sint_maarten	uruguay	1
sint_maarten	bahamas	-1
sint_maarten	bermuda	-1
sint_maarten	aruba	1
sint_maarten	peru	1
sint_maarten	costa_rica	1
sint_maarten	anguilla	-1
sint_maarten	venezuela	1
sint_maarten	french_guiana	1
sint_maarten	cayman_islands	-1
sint_maarten	brazil	1
sint_maarten	trinidad_tobago	1
sint_maarten	dominican_republic	-1
sint_maarten	cuba	-1
sint_maarten	guatemala	1
sint_maarten	chile	1
sint_maarten	martinique	1
sint_maarten	haiti	-1
sint_maarten	belize	1
sint_maarten	argentina	1
sint_maarten	dominica	1
sint_maarten	suriname	1
sint_maarten	saint_lucia	1
sint_maarten	el_salvador	1
sint_maarten	puerto_rico	-1
sint_maarten	british_virgin_islands	-1
sint_maarten	ecuador	1
sint_maarten	guyana	1
sint_maarten	grenada	1
sint_maarten	guadeloupe	1
sint_maarten	antigua_barbuda	1
saint_vincent_grenadines	united_states	-1
saint_vincent_grenadines	jamaica	-1
saint_vincent_grenadines	honduras	-1
saint_vincent_grenadines	colombia	1
saint_vincent_grenadines	mexico	-1
saint_vincent_grenadines	saint_kitts_nevis	-1
saint_vincent_grenadines	turks_caicos_islands	-1
saint_vincent_grenadines	sint_maarten	-1
saint_vincent_grenadines	paraguay	1
saint_vincent_grenadines	nicaragua	1
saint_vincent_grenadines	barbados	1
saint_vincent_grenadines	canada	-1
saint_vincent_grenadines	united_states_virgin_islands	-1
saint_vincent_grenadines	curacao	1
saint_vincent_grenadines	bolivia	1
saint_vincent_grenadines	panama	1
saint_vincent_grenadines	uruguay	1
saint_vincent_grenadines	bahamas	-1
saint_vincent_grenadines	bermuda	-1
saint_vincent_grenadines	aruba	1
saint_vincent_grenadines	peru	1
saint_vincent_grenadines	costa_rica	1
saint_vincent_grenadines	anguilla	-1
saint_vincent_grenadines	venezuela	1
saint_vincent_grenadines	french_guiana	1
saint_vincent_grenadines	cayman_islands	-1
saint_vincent_grenadines	brazil	1
saint_vincent_grenadines	trinidad_tobago	1
saint_vincent_grenadines	dominican_republic	-1
saint_vincent_grenadines	cuba	-1
saint_vincent_grenadines	guatemala	-1
saint_vincent_grenadines	chile	1
saint_vincent_grenadines	martinique	-1
saint_vincent_grenadines	haiti	-1
saint_vincent_grenadines	belize	-1
saint_vincent_grenadines	argentina	1
saint_vincent_grenadines	dominica	-1
saint_vincent_grenadines	suriname	1
saint_vincent_grenadines	saint_lucia	-1
saint_vincent_grenadines	el_salvador	-1
saint_vincent_grenadines	puerto_rico	-1
saint_vincent_grenadines	british_virgin_islands	-1
saint_vincent_grenadines	ecuador	1
saint_vincent_grenadines	guyana	1
saint_vincent_grenadines	grenada	1
saint_vincent_grenadines	guadeloupe	-1
saint_vincent_grenadines	antigua_barbuda	-1
