,Date,CaseCount
0,2016-01-03,1.0
1,2016-01-04,0.0
2,2016-01-05,0.0
3,2016-01-06,1.0
4,2016-01-07,0.0
5,2016-01-08,0.0
6,2016-01-09,0.0
7,2016-01-10,2.0
8,2016-01-11,0.0
9,2016-01-12,0.0
10,2016-01-13,0.0
11,2016-01-14,0.0
12,2016-01-15,0.0
13,2016-01-16,0.0
14,2016-01-17,0.0
15,2016-01-18,0.0
16,2016-01-19,0.0
17,2016-01-20,0.0
18,2016-01-21,0.0
19,2016-01-22,1.0
20,2016-01-23,0.0
21,2016-01-24,1.0
22,2016-01-25,0.0
23,2016-01-26,0.0
24,2016-01-27,1.0
25,2016-01-28,2.0
26,2016-01-29,0.0
27,2016-01-30,0.0
28,2016-01-31,0.0
29,2016-02-01,1.0
30,2016-02-02,3.0
31,2016-02-03,1.0
32,2016-02-04,0.0
33,2016-02-05,2.0
34,2016-02-06,1.0
35,2016-02-07,1.0
36,2016-02-08,0.0
37,2016-02-09,1.0
38,2016-02-10,1.0
39,2016-02-11,0.0
40,2016-02-12,0.0
41,2016-02-13,0.0
42,2016-02-14,1.0
43,2016-02-15,1.0
44,2016-02-16,1.0
45,2016-02-17,0.0
46,2016-02-18,0.0
47,2016-02-19,0.0
48,2016-02-20,0.0
49,2016-02-21,0.0
50,2016-02-22,1.0
51,2016-02-23,0.0
52,2016-02-24,1.0
53,2016-02-25,0.0
54,2016-02-26,0.0
55,2016-02-27,0.0
56,2016-02-28,0.0
57,2016-02-29,0.0
58,2016-03-01,0.0
59,2016-03-02,1.0
60,2016-03-03,0.0
61,2016-03-04,0.0
62,2016-03-05,0.0
63,2016-03-06,2.0
64,2016-03-07,1.0
65,2016-03-08,1.0
66,2016-03-09,0.0
67,2016-03-10,1.0
68,2016-03-11,0.0
69,2016-03-12,0.0
70,2016-03-13,0.0
71,2016-03-14,0.0
72,2016-03-15,1.0
73,2016-03-16,1.0
74,2016-03-17,0.0
75,2016-03-18,0.0
76,2016-03-19,0.0
77,2016-03-20,0.0
78,2016-03-21,0.0
79,2016-03-22,0.0
80,2016-03-23,0.0
81,2016-03-24,0.0
82,2016-03-25,0.0
83,2016-03-26,0.0
84,2016-03-27,0.0
85,2016-03-28,0.0
86,2016-03-29,0.0
87,2016-03-30,1.0
88,2016-03-31,1.0
89,2016-04-01,1.0
90,2016-04-02,0.0
91,2016-04-03,0.0
92,2016-04-04,1.0
93,2016-04-05,0.0
94,2016-04-06,0.0
95,2016-04-07,0.0
96,2016-04-08,0.0
97,2016-04-09,0.0
98,2016-04-10,0.0
99,2016-04-11,0.0
100,2016-04-12,0.0
101,2016-04-13,0.0
102,2016-04-14,0.0
103,2016-04-15,0.0
104,2016-04-16,0.0
105,2016-04-17,1.0
106,2016-04-18,0.0
107,2016-04-19,1.0
108,2016-04-20,2.0
109,2016-04-21,0.0
110,2016-04-22,0.0
111,2016-04-23,0.0
112,2016-04-24,0.0
113,2016-04-25,0.0
114,2016-04-26,0.0
115,2016-04-27,0.0
116,2016-04-28,0.0
117,2016-04-29,0.0
118,2016-04-30,0.0
119,2016-05-01,0.0
120,2016-05-02,0.0
121,2016-05-03,0.0
122,2016-05-04,0.0
123,2016-05-05,1.0
124,2016-05-06,0.0
125,2016-05-07,0.0
126,2016-05-08,1.0
127,2016-05-09,1.0
128,2016-05-10,2.0
129,2016-05-11,1.0
130,2016-05-12,0.0
131,2016-05-13,0.0
132,2016-05-14,0.0
133,2016-05-15,0.0
134,2016-05-16,0.0
135,2016-05-17,0.0
136,2016-05-18,1.0
137,2016-05-19,0.0
138,2016-05-20,0.0
139,2016-05-21,1.0
140,2016-05-22,0.0
141,2016-05-23,2.0
142,2016-05-24,1.0
143,2016-05-25,0.0
144,2016-05-26,0.0
145,2016-05-27,0.0
146,2016-05-28,0.0
147,2016-05-29,1.0
148,2016-05-30,0.0
149,2016-05-31,0.0
150,2016-06-01,4.0
151,2016-06-02,0.0
152,2016-06-03,0.0
153,2016-06-04,1.0
154,2016-06-05,0.0
155,2016-06-06,1.0
156,2016-06-07,0.0
157,2016-06-08,1.0
158,2016-06-09,2.0
159,2016-06-10,0.0
160,2016-06-11,0.0
161,2016-06-12,2.0
162,2016-06-13,3.0
163,2016-06-14,1.0
164,2016-06-15,3.0
165,2016-06-16,3.0
166,2016-06-17,1.0
167,2016-06-18,0.0
168,2016-06-19,1.0
169,2016-06-20,2.0
170,2016-06-21,2.0
171,2016-06-22,0.0
172,2016-06-23,1.0
173,2016-06-24,1.0
174,2016-06-25,2.0
175,2016-06-26,0.0
176,2016-06-27,3.0
177,2016-06-28,2.0
178,2016-06-29,1.0
179,2016-06-30,1.0
180,2016-07-01,2.0
181,2016-07-02,1.0
182,2016-07-03,1.0
183,2016-07-04,2.0
184,2016-07-05,2.0
185,2016-07-06,1.0
186,2016-07-07,2.0
187,2016-07-08,1.0
188,2016-07-09,0.0
189,2016-07-10,4.0
190,2016-07-11,2.0
191,2016-07-12,2.0
192,2016-07-13,3.0
193,2016-07-14,3.0
194,2016-07-15,4.0
195,2016-07-16,3.0
196,2016-07-17,2.0
197,2016-07-18,5.0
198,2016-07-19,3.0
199,2016-07-20,9.0
200,2016-07-21,6.0
201,2016-07-22,3.0
202,2016-07-23,5.0
203,2016-07-24,6.0
204,2016-07-25,4.0
205,2016-07-26,5.0
206,2016-07-27,3.0
207,2016-07-28,2.0
208,2016-07-29,8.0
209,2016-07-30,11.0
210,2016-07-31,5.0
211,2016-08-01,17.0
212,2016-08-02,9.0
213,2016-08-03,9.0
214,2016-08-04,3.0
215,2016-08-05,9.0
216,2016-08-06,9.0
217,2016-08-07,10.0
218,2016-08-08,4.0
219,2016-08-09,6.0
220,2016-08-10,9.0
221,2016-08-11,8.0
222,2016-08-12,9.0
223,2016-08-13,9.0
224,2016-08-14,7.0
225,2016-08-15,14.0
226,2016-08-16,9.0
227,2016-08-17,2.0
228,2016-08-18,9.0
229,2016-08-19,6.0
230,2016-08-20,9.0
231,2016-08-21,5.0
232,2016-08-22,5.0
233,2016-08-23,10.0
234,2016-08-24,14.0
235,2016-08-25,12.0
236,2016-08-26,6.0
237,2016-08-27,7.0
238,2016-08-28,4.0
239,2016-08-29,9.0
240,2016-08-30,6.0
241,2016-08-31,9.0
242,2016-09-01,7.0
243,2016-09-02,6.0
244,2016-09-03,4.0
245,2016-09-04,5.0
246,2016-09-05,11.0
247,2016-09-06,9.0
248,2016-09-07,4.0
249,2016-09-08,8.0
250,2016-09-09,5.0
251,2016-09-10,10.0
252,2016-09-11,6.0
253,2016-09-12,11.0
254,2016-09-13,12.0
255,2016-09-14,11.0
256,2016-09-15,15.0
257,2016-09-16,3.0
258,2016-09-17,15.0
